"Part";"Value";"Device";"Package";"Description";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";
"C1";"1.0uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"C";
"C2";"1.0uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"C";
"DS2408";"DS2408";"DS2408";"SO16";"";"";"";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";"";"";"";
"OPTO";"TLP127";"TLP127";"SO-4";"";"";"";"";"";
"PC-FLASH";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"CONN-08774";"PRT-08032";"";"";
"R1";"4K7";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R2";"100K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R3";"100K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R4";"100K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R5";"100K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R7";"100K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R8";"100K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R9";"220R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"R12";"220R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"R";
"REG";"NCP4688";"NCP4688";"SOT-23-5";"";"";"";"";"";
"S1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"SWCH-10651";"";"COM-10860";"";
"S2";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"Single Pole, Double Throw (SPDT) Switch";"SWCH-10651";"";"COM-10860";"";
"SELECTOR";"";"SW-C16";"SW-C16";"SWITCH";"";"";"";"";
"TP+2.8V";"";"SMD2";"SMD1,27-2,54";"SMD PAD";"";"";"";"";
"TP+6V";"";"SMD2";"SMD1,27-2,54";"SMD PAD";"";"";"";"";
"TP-";"";"SMD2";"SMD1,27-2,54";"SMD PAD";"";"";"";"";
"TP_I/O";"";"SMD2";"SMD1,27-2,54";"SMD PAD";"";"";"";"";
"U$1";"FLASH-EDGE-CONNECTOR";"FLASH-EDGE-CONNECTOR";"FLASH-EDGE-8";"";"";"";"";"";
