Qty;Value;Parts;Device;Package
1;100nf;C3;CERAMIC-100NF-50V-10%-X7R(0603);C0603
1;10uf;C4;TANTALUM-SMD-10UF-16V-10%(AVX-A);AVX-A
6;100K;R2, R3, R4, R5, R7, R8;R-US_M0805;M0805
2;1K;R6, R10;SMD-RES-1K-1%-1/10W(0603);R0603
2;220R;R9, R12;R-US_M0805;M0805
1;4K7;R1;R-US_M0805;M0805
1;AUDIO_JACK_3.5MM_PTH;PC-FLASH;AUDIO_JACK_3.5MM_PTH;AUDIO-JACK
1;DS2408;DS2408;DS2408;SO16
1;FT232RLSSOP;U1;FT232RLSSOP;SSOP28DB
1;TLP127;OPTO;TLP127;SO-4
1;DUAL-LED-0603-BIS;U$1;DUAL-LED-0603-BIS;LED_APHB1608SYKSURKC
1;LED;LED;LED3MM;LED3MM
1;BCD;SELECTOR;SW-C16;SW-C16
3;Switches;S1, S2, S3;SWITCH-SPDT-SMD-RIGHT-ANGLE;SWITCH_SPST_SMD_A
1;10118193-0001LF;USB1;MICRO-USB-SMD-B-(10118193-0001LF);MICRO-USB5+6P-SMD-0.65-B
1;FPC;J1;687106183722;687106183722
1;AUDIO_JACK_3.5MM_PTH;PC-FLASH;AUDIO_JACK_3.5MM_PTH;AUDIO-JACK
