"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";
"4";"";"SMD2";"SMD1,27-2,54";"TP+2.8V, TP+6V, TP-, TP_I/O";"SMD PAD";"";
"1";"";"SW-C16";"SW-C16";"SELECTOR";"SWITCH";"";
"2";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"S1, S2";"Single Pole, Double Throw (SPDT) Switch";"";
"2";"1.0uF";"C-EUC0603";"C0603";"C1, C2";"CAPACITOR, European symbol";"";
"6";"100K";"R-US_M0805";"M0805";"R2, R3, R4, R5, R7, R8";"RESISTOR, American symbol";"";
"2";"220R";"R-US_M0805";"M0805";"R9, R12";"RESISTOR, American symbol";"";
"1";"4K7";"R-US_M0805";"M0805";"R1";"RESISTOR, American symbol";"";
"1";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"PC-FLASH";"Audio Jack";"";
"1";"DS2408";"DS2408";"SO16";"DS2408";"";"";
"1";"FLASH-EDGE-CONNECTOR";"FLASH-EDGE-CONNECTOR";"FLASH-EDGE-8";"U$1";"";"";
"1";"NCP4688";"NCP4688";"SOT-23-5";"REG";"";"";
"1";"TLP127";"TLP127";"SO-4";"OPTO";"";"";
